".chain",".iteration",".draw","Se","Sp","tau1","tau2"
1,1,1,0.954119002348949,0.915580517123557,0.0204974982139694,0.985713578199117
1,2,2,0.948435932669997,0.909432741585799,0.0264232196500085,0.972202577635476
1,3,3,0.953750721881298,0.923951920113882,0.0237934915236591,0.978324781471156
1,4,4,0.955212584956687,0.898646393235977,0.0206075618486023,0.98546583420642
1,5,5,0.95551624233638,0.91495146872719,0.0268299323605886,0.974494708594273
1,6,6,0.954531700200454,0.935839122906505,0.0372412365151961,0.970288926194265
1,7,7,0.952887155278639,0.926500457476836,0.0207087791715708,0.982186072197929
1,8,8,0.951786598311412,0.898540256861136,0.0239080534804761,0.976923174329185
1,9,9,0.94683894795906,0.952089442793846,0.0286644514056424,0.975017477603503
1,10,10,0.949248517986659,0.950488032234126,0.0238034851981977,0.978828561425446
1,11,11,0.950929528600596,0.912895098764542,0.0263086882602566,0.976073965887999
1,12,12,0.94354472233979,0.909408973631951,0.0213166647367359,0.984231594495992
1,13,13,0.944979142669197,0.934807861467881,0.0243521826962339,0.972074286774396
1,14,14,0.951435687437603,0.925190739903937,0.0256782490613577,0.970609941144946
1,15,15,0.953758861495842,0.941615890688999,0.0259717519429907,0.978766412049014
1,16,16,0.955400946436328,0.923699741135941,0.02584133535281,0.975229437605429
1,17,17,0.94964701777754,0.936820499572972,0.0257731710354268,0.982590686837875
1,18,18,0.949218032286469,0.896768563162695,0.0201832469517523,0.974112809182718
1,19,19,0.947745914297591,0.921897439294956,0.022144244577763,0.971815003677934
1,20,20,0.946503808502421,0.927269235445801,0.0338909817921908,0.972883936943946
1,21,21,0.948168632343935,0.90442125995264,0.0280638337355944,0.972748928773418
1,22,22,0.94971439713641,0.909373524869227,0.0235787916424501,0.978650901160095
1,23,23,0.948893332752245,0.895979336953406,0.0175400944298223,0.986780746819276
1,24,24,0.954104437470404,0.907530518972436,0.0167286029432476,0.977341351395407
1,25,25,0.952904185216826,0.923860702967082,0.0242258196535974,0.988354398407807
1,26,26,0.949384098507781,0.899365363333866,0.0133527816170987,0.991948111080542
1,27,27,0.951635057958772,0.856551941627086,0.0186883334432627,0.985312830038611
1,28,28,0.947802801685326,0.897997281089814,0.015206209191185,0.982015876015677
1,29,29,0.945797354329375,0.902111638441758,0.026048660945166,0.971956841329479
1,30,30,0.951224968363145,0.899971626752304,0.0147529424297083,0.986297076878311
1,31,31,0.948431129192285,0.905853611557104,0.02018554004245,0.976734308399472
1,32,32,0.949679899327195,0.918139392142239,0.019788828728275,0.985887623770264
1,33,33,0.954720970386048,0.875933546139318,0.0204127188796157,0.986664256870378
1,34,34,0.950140083459367,0.892043489016543,0.0139164168637625,0.980838187667026
1,35,35,0.955908951346146,0.880295711650486,0.0203842520495307,0.990446651783128
1,36,36,0.946121111095882,0.907921707975343,0.0178593294514806,0.984676257231239
1,37,37,0.951259861247586,0.886266755740107,0.0151892071138296,0.985049425744451
1,38,38,0.94824148216924,0.887454281412914,0.0101939563176676,0.991320023266234
1,39,39,0.945372589398156,0.892358505453877,0.00711398682053129,0.991347080364234
1,40,40,0.95301071120741,0.865113739584454,0.0111274133629178,0.982726724630052
1,41,41,0.947972423006913,0.835097091939947,0.0159022080309213,0.985040591680637
1,42,42,0.948830066271997,0.868396946911783,0.0101285803625978,0.987792662033677
1,43,43,0.95208254931359,0.836259930551298,0.00685438649162848,0.996632430821797
1,44,44,0.947320945695105,0.903403464290837,0.0133206186638648,0.993185460917426
1,45,45,0.944220336044329,0.856403908596901,0.0106561710513179,0.994257145227909
1,46,46,0.943050833587217,0.884085452745788,0.0085830474362898,0.9896342013636
1,47,47,0.95130289669685,0.861770343455272,0.0122421297192241,0.991277793587339
1,48,48,0.946328480573748,0.88196982005106,0.0111861488460139,0.98467158894615
1,49,49,0.947561789229544,0.853182159164944,0.0151976103524379,0.981903907364045
1,50,50,0.946438698281589,0.866902275135225,0.0166960252704676,0.979123596950145
1,51,51,0.947559857192305,0.895482716849232,0.014968421526184,0.984487239305169
1,52,52,0.953068312801846,0.921965965144362,0.0146909024275001,0.988663996880482
1,53,53,0.949003507993036,0.918473550918952,0.0197735513767257,0.989452752730051
1,54,54,0.948776206978213,0.870539473513078,0.0128942448846153,0.992523416721237
1,55,55,0.950317727493559,0.869357639692109,0.0198965664517316,0.988366619125159
1,56,56,0.945851609525787,0.888944116289307,0.0186399167294679,0.985672121476441
1,57,57,0.949686281505821,0.916843583036536,0.0140867989909301,0.986278690474961
1,58,58,0.949833143766278,0.896840709563824,0.0237106229427902,0.991051284800975
1,59,59,0.948102057636492,0.901192679784325,0.0174495495630571,0.979797421086342
1,60,60,0.950342421213408,0.941068021156109,0.0262519961265705,0.973805778152497
1,61,61,0.949969134148853,0.888066706721363,0.0148009180381763,0.978629356371061
1,62,62,0.950601677880657,0.922847476976424,0.0179824453337158,0.986368253250771
1,63,63,0.952018725088884,0.92304980270928,0.0194945556646134,0.981643238888458
1,64,64,0.948153716123219,0.961774646866119,0.0233831063175295,0.983518782505914
1,65,65,0.951328848806369,0.905512146448177,0.0162965878042205,0.982935735145983
1,66,66,0.950504201297731,0.90513174655291,0.0194542991484325,0.974644122287341
1,67,67,0.949450835752632,0.89889167259004,0.0263270713285759,0.97983964521753
1,68,68,0.953201110911435,0.880232176282813,0.0175086892874584,0.978005642758503
1,69,69,0.949817803803917,0.894398680772931,0.0166085352396018,0.978093485848408
1,70,70,0.949872269316439,0.861849533024127,0.0180881812347653,0.983324301034093
1,71,71,0.953604590824172,0.901990062264683,0.024110018455821,0.974698616179209
1,72,72,0.951092318092171,0.87904543801929,0.0224481178150795,0.983652761154832
1,73,73,0.949571944711184,0.8704025739575,0.0155121957953503,0.980940981514065
1,74,74,0.948647611405573,0.869353240708893,0.0189536492937187,0.982614201610693
1,75,75,0.952178930890088,0.851585939123545,0.0181677888231498,0.981464579488338
1,76,76,0.953455118270898,0.867634197135219,0.0162036459565704,0.985807271362115
1,77,77,0.946606499481252,0.888594565789307,0.0175927748438613,0.985086007405469
1,78,78,0.954083286735263,0.895684582911176,0.0210258686055213,0.97093454183954
1,79,79,0.949219095470965,0.896755267664295,0.0245102132987518,0.974660654164972
1,80,80,0.947976683613146,0.920777375013962,0.0185327623016939,0.976176781658223
1,81,81,0.952006334363953,0.894727024831162,0.0225693764133687,0.980342380432853
1,82,82,0.951975174645948,0.910507735861588,0.0207092477961694,0.973069814689811
1,83,83,0.952046011262841,0.885696924705097,0.0218711969865669,0.976302397595749
1,84,84,0.946825880969547,0.883872643941253,0.0234395000978887,0.9827742307442
1,85,85,0.951100453946617,0.899071487302024,0.0190135247133898,0.985266384441955
1,86,86,0.950005457660205,0.87678394182736,0.0250262507656817,0.983506201310468
1,87,87,0.946178487928217,0.902283853016415,0.0267291108670327,0.973438257772297
1,88,88,0.951995646053695,0.925801504141257,0.0255782177021316,0.974219484590526
1,89,89,0.945894751026822,0.9014443079414,0.0220715300966584,0.969221718039831
1,90,90,0.949126698430875,0.886475482216907,0.0213635635768569,0.974375840143828
1,91,91,0.948992582501317,0.90794463964759,0.0316134658846033,0.975883684769879
1,92,92,0.950567245322098,0.915768438071538,0.02486283969619,0.972421691774062
1,93,93,0.95395157464786,0.897979046809671,0.0249169307764805,0.977810567860538
1,94,94,0.954940282118514,0.908387837903829,0.0261897874724344,0.976470208528102
1,95,95,0.952656148332112,0.902883876382847,0.0202164803481061,0.976324623915898
1,96,96,0.95127783382249,0.875113069063983,0.0260189873710626,0.963460518579398
